district,location,season,planting_date,planting_month,field_size_ha,first_fert_date,second_fert_date,soil_type,soil_condition,soil_ph,soil_nitrogen_n,soil_phosphorus_p,soil_potassium_k,soil_fertility_index,n_status_class,p_status_class,k_status_class,seed_variety,irrigation_type,rainfall_condition,rainfall_30d_mm,seasonal_rainfall_mm,avg_temperature_c,max_temperature_c,avg_humidity_pct,sunshine_hours,yield_t_ha
Anuradhapura,Nochchiyagama,Yala,3/15/2020,3,2.42,4/1/2020,4/22/2020,RBE,Poor,5.869,95.706,11.294,219.305,0.621,High,Medium,High,Pacific 808,Rainfed,Normal,311.293,687.691,29.498,34.182,66.596,7.81,5.8702
Ampara,Dehiattakandiya,Yala,3/15/2020,3,1.3,4/10/2020,5/2/2020,RBE,Good,6.308,75.397,10.841,190.003,0.549,Medium,Medium,Medium,GT 709,Mixed,Normal,170.3,553.504,25.502,30.271,73.397,7.195,5.9605
Monaragala,Thanamalwila,Yala,3/15/2020,3,0.76,4/13/2020,4/27/2020,RBE,Poor,6.499,66.497,25.109,56.706,0.532,Medium,High,Low,Jet 999,Mixed,High,430.049,630.591,25.999,28.202,78.701,7.795,3.5165
Anuradhapura,Nochchiyagama,Yala,3/15/2020,3,1.89,4/10/2020,5/17/2020,RYP,Good,6.621,83.907,4.706,121.708,0.4,High,Low,Medium,Local Variety,Rainfed,Normal,168.904,769.493,30.472,34.298,61.175,7.798,4.3276
Anuradhapura,Tambuttegama,Yala,3/15/2020,3,2.74,4/8/2020,4/28/2020,RBE,Medium,6.318,60.593,19.608,144.9,0.562,Medium,Medium,Medium,Jet 999,Rainfed,Normal,309.884,704.591,25.801,28.299,78.896,7.995,4.1896
Badulla,Mahiyanganaya,Yala,3/15/2020,3,2.38,4/6/2020,4/28/2020,IBL,Medium,6.609,86.493,15.497,298.903,0.741,Medium,Medium,High,Local Variety,Irrigated,High,210.993,689.107,29.202,32.798,81.598,8.81,4.7964
Anuradhapura,Horowpathana,Yala,3/18/2020,3,3.47,4/15/2020,5/24/2020,RBE,Good,6.272,111.889,6.904,84.601,0.58,High,Low,Medium,Jet 999,Mixed,Low,181.203,775.999,29.634,32.801,66.206,8.696,4.3384
Anuradhapura,Tambuttegama,Yala,3/18/2020,3,0.89,4/12/2020,5/8/2020,RBE,Poor,6.309,72.106,2.885,275.599,0.619,Medium,Low,High,Pacific 808,Rainfed,Low,289.832,633.308,31.001,36.904,64.397,7.801,5.4187
Monaragala,Buttala,Yala,3/18/2020,3,1.42,4/11/2020,5/11/2020,RYP,Medium,6.302,64.207,23.447,197.708,0.643,Medium,High,Medium,Pacific 808,Mixed,Normal,275.521,742.169,27.405,32.517,69.179,7.258,5.2271
Anuradhapura,Tambuttegama,Yala,3/19/2020,3,0.5,4/6/2020,5/2/2020,RBE,Good,6.363,72.072,18.004,223.437,0.71,Medium,Medium,High,Commando,Irrigated,Low,159.444,546.432,26.369,30.814,73.943,8.523,4.4741
Anuradhapura,Horowpathana,Yala,3/19/2020,3,0.77,4/14/2020,5/21/2020,RBE,Medium,6.231,87.092,13.597,238.192,0.61,High,Medium,High,Local Variety,Irrigated,Low,185.792,698.096,28.274,32.06,65.105,5.406,5.9225
Monaragala,Buttala,Yala,3/20/2020,3,2.38,4/16/2020,5/17/2020,RYP,Poor,5.68,108.2,24.305,92.767,0.671,High,High,Low,Local Variety,Rainfed,Normal,371.992,728.804,26.9,29.49,60.101,8.299,4.319
Monaragala,Siyambalanduwa,Yala,3/20/2020,3,2.52,4/19/2020,5/14/2020,RBE,Poor,5.702,59.501,7.707,160.406,0.401,Medium,Low,Medium,Local Variety,Mixed,Normal,242.409,540.618,26.398,29.902,67.103,6.702,4.3114
Anuradhapura,Horowpathana,Yala,3/21/2020,3,0.87,4/15/2020,5/7/2020,RBE,Good,6.14,93.206,14.242,227.895,0.72,High,Medium,High,Local Variety,Irrigated,Low,210.808,652.809,27.604,31.899,65.901,5.23,6.1011
Badulla,Rideemaliyadda,Yala,3/21/2020,3,1.37,4/20/2020,5/28/2020,RBE,Good,5.88,36.996,15.994,131.399,0.57,Low,Medium,High,Commando,Irrigated,Low,386.604,770.11,29.266,34.4,77.613,7.602,3.9123
Anuradhapura,Eppawala,Yala,3/21/2020,3,3.03,4/18/2020,5/9/2020,RBE,Medium,6.212,37.84,22.402,93.993,0.562,Low,High,Medium,GT 200,Rainfed,Normal,293.409,578.699,29.983,32.604,66.604,6.801,3.8738
Monaragala,Thanamalwila,Yala,3/21/2020,3,2.081,4/15/2020,5/4/2020,RBE,Medium,6.168,42.968,9.907,88.101,0.484,Low,Low,Low,GT 709,Mixed,Normal,251.756,715.453,29.798,32.698,71.056,7.458,3.6673
Anuradhapura,Eppawala,Yala,3/21/2020,3,1.47,4/14/2020,5/8/2020,RBE,Good,6.379,33.692,24.881,267.293,0.66,Low,High,High,GT 200,Mixed,Normal,255.495,727.205,27.801,30.197,78.636,8.497,5.0344
Anuradhapura,Kahatagasdigiliya,Yala,3/22/2020,3,3.5,4/16/2020,5/11/2020,RBE,Medium,6.774,29.943,26.076,198.04,0.585,Low,High,Medium,Jet 999,Mixed,Normal,346.848,917.47,28.523,32.983,62.801,5.678,4.4586
Anuradhapura,Kahatagasdigiliya,Yala,3/22/2020,3,0.69,4/21/2020,5/31/2020,RBE,Medium,6.579,86.8,16.629,154.105,0.581,High,Medium,Medium,Local Variety,Rainfed,High,163.506,567.694,30.698,36.202,78.598,7.995,5.5917
Anuradhapura,Eppawala,Yala,3/22/2020,3,1.23,4/20/2020,5/30/2020,RYP,Poor,6.471,73.607,23.608,131.891,0.635,Medium,High,Medium,Commando,Rainfed,Low,249.204,780.706,29.397,35.198,65.103,5.5,5.2432
Monaragala,Buttala,Yala,3/23/2020,3,2.05,4/13/2020,5/10/2020,RBE,Good,6.389,25.3,7.852,165.896,0.34,Low,Low,Medium,Pacific 808,Rainfed,High,473.499,786.205,25.199,28.205,64.901,8.897,3.0895
Monaragala,Buttala,Yala,3/23/2020,3,2.16,4/20/2020,5/9/2020,RYP,Good,5.801,115.736,22.606,83.261,0.7,High,High,Low,Local Variety,Rainfed,Normal,351.095,700.894,26.597,30.899,58.205,8.902,4.489
Monaragala,Buttala,Yala,3/25/2020,3,2.12,4/17/2020,5/1/2020,RBE,Medium,6.64,18.9,10.3,182.1,0.46,Low,Low,Medium,Pacific 808,Rainfed,High,470.992,689.699,25.501,28.472,64.095,9.103,3.1654
Badulla,Rideemaliyadda,Yala,3/25/2020,3,0.95,4/19/2020,5/7/2020,RBE,Good,6.268,78.906,14.191,186.102,0.578,Medium,Medium,Medium,GT 200,Rainfed,Normal,200.808,500.299,24.42,27.903,75.354,6.304,5.1307
Monaragala,Buttala,Yala,4/1/2020,4,3.32,4/16/2020,5/8/2020,Alluvial,Medium,6.569,104.904,5.109,136.203,0.651,High,Low,High,GT 200,Irrigated,Normal,331.199,560.214,30.798,34.937,70.105,6.106,3.2515
Ampara,Dehiattakandiya,Yala,4/1/2020,4,1.73,4/28/2020,5/22/2020,RYP,Poor,5.959,30.595,24.006,222.971,0.586,Low,High,High,GT 709,Rainfed,Normal,176.594,758.604,29.099,31.6,64.406,8.7,2.8152
Ampara,Maha Oya,Yala,4/3/2020,4,2.92,4/27/2020,6/1/2020,Alluvial,Good,5.501,44.449,16.208,140.198,0.622,Medium,Medium,High,Jet 999,Irrigated,High,325.002,747.303,31.697,33.999,61.495,8.694,4.677
Anuradhapura,Nochchiyagama,Yala,4/3/2020,4,2.16,4/21/2020,5/31/2020,RBE,Medium,6.141,93.896,16.894,70.797,0.61,High,Medium,Low,Jet 999,Rainfed,High,173.624,719.903,28.501,30.701,79.23,8.702,3.5726
Ampara,Maha Oya,Yala,4/3/2020,4,2.74,5/1/2020,5/25/2020,Alluvial,Medium,5.709,43.995,18.509,139.987,0.532,Low,Medium,Medium,Jet 999,Irrigated,Normal,307.794,936.195,30.903,32.9,59.804,8.524,4.6974
Anuradhapura,Nochchiyagama,Yala,4/5/2020,4,2.59,4/20/2020,5/11/2020,RBE,Good,6.75,59.804,21.506,212.452,0.611,Medium,High,High,GT 200,Rainfed,Normal,172.407,714.997,29.099,34.597,68.022,8.201,5.8272
Anuradhapura,Tambuttegama,Yala,4/5/2020,4,2.92,4/29/2020,5/27/2020,RBE,Medium,6.608,40.993,10.374,184.302,0.441,Low,Medium,Medium,GT 200,Irrigated,High,424.705,615.391,29.797,32.597,78.998,8.899,4.2532
Anuradhapura,Horowpathana,Yala,4/5/2020,4,0.68,4/27/2020,5/18/2020,RYP,Medium,6.091,68.605,5.994,259.892,0.549,Medium,Low,High,GT 709,Rainfed,High,350.522,600.906,24.797,28.399,78.805,7.199,3.4738
Matale,Dambulla,Yala,4/7/2020,4,1.21,4/24/2020,5/31/2020,RBE,Medium,5.822,92.602,14.808,173.301,0.562,High,Medium,Medium,Jet 999,Rainfed,Low,239.3,593.599,27.198,31.299,73.904,7.012,5.8494
Monaragala,Wellawaya,Yala,4/7/2020,4,1.84,5/7/2020,5/28/2020,RBE,Good,6.341,111.294,22.589,53.493,0.702,High,High,Low,Commando,Irrigated,Normal,401.399,671.799,24.065,28.203,67.801,7.503,5.6625
Monaragala,Wellawaya,Yala,4/8/2020,4,1.8,4/29/2020,5/27/2020,RBE,Good,6.279,117.694,25.999,59.002,0.679,High,High,Low,Commando,Irrigated,High,399.503,698.094,24.512,28.502,67.397,7.4,5.4585
Monaragala,Siyambalanduwa,Yala,4/8/2020,4,0.58,4/27/2020,6/3/2020,RBE,Poor,6.582,117.201,26.15,79.499,0.79,High,High,Low,Local Variety,Rainfed,High,324.002,494.871,28.701,31.598,74.702,8.404,4.9408
Ampara,Dehiattakandiya,Yala,4/8/2020,4,2.43,5/8/2020,6/7/2020,RBE,Good,5.829,75.2,6.393,99.891,0.389,Medium,Low,Low,Jet 999,Mixed,Normal,205.592,508.402,29.198,31.919,62.506,7.998,4.3726
Monaragala,Thanamalwila,Yala,4/10/2020,4,1.828,4/28/2020,5/16/2020,RBE,Medium,6.009,49.558,12.069,147.755,0.555,Low,Medium,Medium,Jet 999,Mixed,Normal,283.811,752.146,29.313,33.577,73.196,9.129,4.2235
Ampara,Maha Oya,Yala,4/10/2020,4,2.35,4/24/2020,5/27/2020,RBE,Medium,6.112,102.108,3,127.804,0.486,High,Low,Medium,GT 200,Rainfed,Normal,253.598,529.695,29.703,33.5,62.501,9.894,4.362
Badulla,Rideemaliyadda,Yala,4/11/2020,4,2.74,5/1/2020,6/9/2020,RYP,Good,6.519,78.359,13.403,250.907,0.691,Medium,Medium,High,Local Variety,Rainfed,Normal,342.823,580.791,32.497,37.996,74.8,9.202,3.8475
Badulla,Rideemaliyadda,Yala,4/12/2020,4,1.98,5/11/2020,6/9/2020,RBE,Medium,5.922,94.109,9.588,199.298,0.589,High,Low,Medium,Local Variety,Rainfed,Normal,225.302,801.074,27.597,31.496,69.605,6.901,3.9172
Anuradhapura,Kahatagasdigiliya,Yala,4/12/2020,4,2.69,5/11/2020,5/22/2020,RBE,Poor,5.901,115.601,12.446,211.892,0.599,High,Medium,High,GT 709,Rainfed,Low,152.892,701.099,30.399,33.898,74.799,5.233,5.527
Monaragala,Buttala,Yala,4/12/2020,4,2.5,5/7/2020,5/19/2020,RBE,Poor,6.192,45.262,15.703,181.398,0.501,Low,Medium,Medium,Local Variety,Mixed,Normal,304.493,783.998,30.003,34.001,61.902,5.602,5.0368
Badulla,Rideemaliyadda,Yala,4/12/2020,4,2.1,5/11/2020,6/1/2020,RBE,Good,5.908,97.01,7.79,77.3,0.44,High,Low,Low,GT 200,Irrigated,Normal,322.4,750.916,26.396,28.902,78.647,8.701,4.7915
Ampara,Maha Oya,Yala,4/12/2020,4,1.95,4/30/2020,5/25/2020,RYP,Medium,6.369,109.306,14.603,174.007,0.751,High,Medium,Medium,Jet 999,Rainfed,Normal,297.697,627.49,25.8,28.899,73.796,7.633,5.292
Matale,Pelwehera,Yala,4/13/2020,4,0.83,5/10/2020,6/6/2020,RBE,Medium,6.421,119.401,23.401,52.167,0.65,High,High,Low,GT 200,Rainfed,High,322.3,756.892,28.401,30.23,62.906,6.004,4.0388
Matale,Dambulla,Yala,4/13/2020,4,2.08,5/6/2020,6/19/2020,RBE,Poor,6.24,90.148,19.208,103.394,0.662,High,Medium,Medium,Commando,Rainfed,High,187.692,732.596,30.804,36.099,75.117,6.497,5.8501
Monaragala,Buttala,Yala,4/13/2020,4,0.79,5/12/2020,5/28/2020,LHG,Medium,6.521,81.705,27.395,75.597,0.609,Medium,High,Low,GT 709,Rainfed,Normal,355.6,573.798,28.202,31.002,70.305,7.353,5.6534
Monaragala,Thanamalwila,Yala,4/13/2020,4,3,4/27/2020,5/24/2020,RYP,Poor,6.58,31.88,18.095,159.903,0.5,Low,Medium,Medium,GT 709,Rainfed,Low,271.509,653.899,27.999,33.497,70.4,7.1,4.9724
Monaragala,Thanamalwila,Yala,4/13/2020,4,2.57,5/13/2020,6/5/2020,RYP,Good,6.541,50.097,10.47,225.309,0.5,Medium,Low,High,Jet 999,Mixed,Low,233.606,761.201,26.651,28.501,84.899,8.895,4.5147
Matale,Pelwehera,Yala,4/13/2020,4,1.57,4/29/2020,5/31/2020,RBE,Good,5.869,42.1,24.676,84.208,0.42,Low,High,Low,GT 709,Mixed,Normal,350.002,560.699,25.702,29.705,76.294,9.601,5.918
Matale,Dambulla,Yala,4/13/2020,4,2.69,5/4/2020,5/31/2020,RYP,Medium,6.026,30.109,25.001,112.896,0.491,Low,High,Medium,GT 200,Irrigated,Normal,375.472,786.003,28.102,30.798,65.903,7.396,3.8438
Badulla,Mahiyanganaya,Yala,4/13/2020,4,2.44,5/11/2020,6/7/2020,RYP,Good,6.37,67.407,19.3,108.497,0.552,Medium,Medium,Medium,Jet 999,Rainfed,Low,326.502,726.239,31.503,35.799,71.197,9.111,5.0873
Monaragala,Wellawaya,Yala,4/13/2020,4,2.57,5/7/2020,6/2/2020,RBE,Medium,6.309,57.198,9.991,63.023,0.499,Medium,Low,Low,GT 200,Mixed,Normal,393.009,472.636,26.801,28.502,76.103,5.804,3.1634
